Rainfall,Water Level,Elevation,Slope,Distance from River,Flood Status
19.93220339,4399.3875,6.0,0.73370111,232.5,2
19.93220339,4399.3875,6.2,2.64366388,260.35,2
19.93220339,4399.3875,6.5,3.27780986,271.73,1
19.93220339,4399.3875,6.3,0.92803621,213.45,2
19.93220339,4399.3875,6.9,3.94507098,203.7,1
19.93220339,4399.3875,7.0,3.94507098,107.78,2
19.93220339,4399.3875,7.0,2.64366388,103.47,2
19.93220339,4399.3875,7.5,1.46716166,43.8,2
19.93220339,4399.3875,7.2,1.64024699,5.534,2
19.93220339,4399.3875,6.2,1.03755331,18.44,2
19.93220339,4399.3875,5.4,2.31902623,33.62,1
19.93220339,4399.3875,6.2,0.73370111,48.51,2
19.93220339,4399.3875,6.8,3.37449098,78.53,2
19.93220339,4399.3875,7.0,2.64366388,84.33,2
19.93220339,4399.3875,7.4,1.35270059,94.78,2
19.93220339,4399.3875,7.7,4.68774796,103.8,2
19.93220339,4399.3875,9.3,4.63047934,131.6,2
19.93220339,4399.3875,10.0,3.99894142,140.1,2
19.93220339,4399.3875,11.0,5.71170616,154.04,2
19.93220339,4399.3875,9.8,3.83503151,137.14,2
19.93220339,4399.3875,7.5,1.76652288,108.25,2
19.93220339,4399.3875,6.6,0.32813546,123.9503949,2
19.93220339,4399.3875,5.6,3.27780986,86.28,1
19.93220339,4399.3875,5.3,4.56079054,77.12,1
19.93220339,4399.3875,6.9,2.9324019,29.05,2
19.93220339,4399.3875,7.3,3.5296936,0.0,2
19.93220339,4399.3875,7.4,4.10453463,5.439,2
19.93220339,4399.3875,7.4,4.30785942,42.94,2
19.93220339,4399.3875,7.0,3.61959124,83.5,2
19.93220339,4399.3875,7.6,1.31232667,134.88,2
19.93220339,4399.3875,7.6,0.46404853,145.84,2
19.93220339,4399.3875,7.7,1.46716166,211.5,2
19.93220339,4399.3875,6.7,3.70728707,251.0,1
19.93220339,4399.3875,7.3,3.73605657,289.6,1
19.93220339,4399.3875,7.6,1.9680599,298.3,2
19.93220339,4399.3875,9.1,0.6562494,346.66,1
19.93220339,4399.3875,8.4,0.73370111,356.4,1
19.93220339,4399.3875,7.3,1.18295407,287.0,2
19.93220339,4399.3875,7.1,0.32813546,266.45,2
19.93220339,4399.3875,6.5,1.64024699,147.9,2
19.93220339,4399.3875,12.4,1.76652288,49.54,2
19.93220339,4399.3875,12.2,1.46716166,9.002,2
19.93220339,4399.3875,12.2,0.6562494,2.6676,2
19.93220339,4399.3875,11.4,0.0,12.235,2
19.93220339,4399.3875,10.0,0.6562494,40.18,2
19.93220339,4399.3875,9.7,1.03755331,48.15,2
19.93220339,4399.3875,8.3,1.46716166,85.92,2
19.93220339,4399.3875,8.5,0.92803621,109.3,2
19.93220339,4399.3875,8.6,2.64366388,154.62,2
19.93220339,4399.3875,5.7,0.73370111,194.1,1
19.93220339,4399.3875,4.6,2.9324019,209.67,2
19.93220339,4399.3875,4.7,1.85558569,209.7,2
19.93220339,4399.3875,9.5,3.27780986,115.53,2
19.93220339,4399.3875,9.4,5.32632017,109.14,2
19.93220339,4399.3875,9.2,5.64620972,92.36,2
19.93220339,4399.3875,9.6,4.45417881,61.11,2
19.93220339,4399.3875,8.7,1.03755331,14.492,2
19.93220339,4399.3875,8.5,2.10017395,0.0,2
19.93220339,4399.3875,9.3,2.31902623,51.08,2
19.93220339,4399.3875,8.7,0.6562494,89.11,2
19.93220339,4399.3875,6.9,2.36490035,153.6,2
19.93220339,4399.3875,7.6,3.37449098,282.0,1
19.93220339,4399.3875,7.8,1.03755331,299.4,2
19.93220339,4399.3875,6.8,1.76652288,426.2,1
19.93220339,4399.3875,7.0,1.18295407,434.2,1
19.93220339,4399.3875,7.1,3.228374,443.2,1
19.93220339,4399.3875,6.8,2.36490035,420.4,1
19.93220339,4399.3875,6.6,3.42179823,397.14,1
19.93220339,4399.3875,4.1,4.25795174,188.4,2
19.93220339,4399.3875,9.3,3.09265065,106.91,2
19.93220339,4399.3875,12.8,3.09265065,28.68,2
19.93220339,4399.3875,6.5,3.27780986,85.69,2
19.93220339,4399.3875,6.8,0.46404853,104.2,2
19.93220339,4399.3875,7.5,1.9680599,149.36,2
19.93220339,4399.3875,5.9,1.18295407,205.95,1
19.93220339,4399.3875,6.0,3.6637044,214.4,1
19.93220339,4399.3875,6.0,6.00178337,224.37,1
19.93220339,4399.3875,6.3,2.38750553,268.23,2
19.93220339,4399.3875,6.4,2.10017395,275.73,2
19.93220339,4399.3875,6.2,3.99894142,267.9,1
19.93220339,4399.3875,5.1,4.40595388,32.114,1
19.93220339,4399.3875,6.4,2.31902623,45.56,2
19.93220339,4399.3875,9.0,3.228374,237.7,1
19.93220339,4399.3875,6.3,2.07442665,325.95,1
19.93220339,4399.3875,5.9,1.67271197,333.9,1
19.93220339,4399.3875,4.0,2.38750553,435.6,1
19.93220339,4399.3875,7.0,1.99518502,458.4,1
19.93220339,4399.3875,10.8,2.20014167,491.8,1
19.93220339,4399.3875,9.3,2.64366388,216.95,2
19.93220339,4399.3875,8.2,3.60476565,180.24,2
